"team","metric.type","forecast.week","season","metric","location","data.type","prediction.target"
"J","AE",36,"2005/2006",0.910714,"iquitos","train","peakinc"
"H","AE",36,"2005/2006",0,"iquitos","train","peakinc"
"P","AE",36,"2005/2006",8.49915,"iquitos","train","peakinc"
"A","AE",36,"2005/2006",29,"iquitos","train","peakinc"
"O","AE",36,"2005/2006",3.41999,"iquitos","train","peakinc"
"L","AE",36,"2005/2006",0,"iquitos","train","peakinc"
"I","AE",36,"2005/2006",2,"iquitos","train","peakinc"
"G","AE",36,"2005/2006",6.2825,"iquitos","train","peakinc"
"K","AE",36,"2005/2006",11,"iquitos","train","peakinc"
"N","AE",36,"2005/2006",111,"iquitos","train","peakinc"
"F","AE",36,"2005/2006",0,"iquitos","train","peakinc"
"M","AE",36,"2005/2006",8,"iquitos","train","peakinc"
"E","AE",36,"2005/2006",9,"iquitos","train","peakinc"
"baseline","LS",40,"2005/2006",-1.29244,"iquitos","train","peakinc"
"B","LS",40,"2005/2006",-0.506555,"iquitos","train","peakinc"
"C","LS",40,"2005/2006",-0.00796025,"iquitos","train","peakinc"
"D","LS",40,"2005/2006",-Inf,"iquitos","train","peakinc"
"J","LS",40,"2005/2006",-0.642109,"iquitos","train","peakinc"
"H","LS",40,"2005/2006",-0.000181798,"iquitos","train","peakinc"
"P","LS",40,"2005/2006",-1.80728,"iquitos","train","peakinc"
"A","LS",40,"2005/2006",-Inf,"iquitos","train","peakinc"
"O","LS",40,"2005/2006",-0.0350444,"iquitos","train","peakinc"
"L","LS",40,"2005/2006",0,"iquitos","train","peakinc"
"I","LS",40,"2005/2006",0,"iquitos","train","peakinc"
"G","LS",40,"2005/2006",-3.05986,"iquitos","train","peakinc"
"K","LS",40,"2005/2006",-3.91202,"iquitos","train","peakinc"
"N","LS",40,"2005/2006",-Inf,"iquitos","train","peakinc"
"F","LS",40,"2005/2006",0,"iquitos","train","peakinc"
"M","LS",40,"2005/2006",-0.942951,"iquitos","train","peakinc"
"E","LS",40,"2005/2006",-0.329894,"iquitos","train","peakinc"
"baseline","AE",40,"2005/2006",24.7863,"iquitos","train","peakinc"
"B","AE",40,"2005/2006",0,"iquitos","train","peakinc"
"C","AE",40,"2005/2006",0,"iquitos","train","peakinc"
"D","AE",40,"2005/2006",0,"iquitos","train","peakinc"
"J","AE",40,"2005/2006",0.774929,"iquitos","train","peakinc"
"H","AE",40,"2005/2006",0,"iquitos","train","peakinc"
"P","AE",40,"2005/2006",8.68745,"iquitos","train","peakinc"
"A","AE",40,"2005/2006",29,"iquitos","train","peakinc"
"O","AE",40,"2005/2006",1.4126,"iquitos","train","peakinc"
"L","AE",40,"2005/2006",0,"iquitos","train","peakinc"
"I","AE",40,"2005/2006",2,"iquitos","train","peakinc"
"G","AE",40,"2005/2006",5.115,"iquitos","train","peakinc"
"K","AE",40,"2005/2006",27,"iquitos","train","peakinc"
"N","AE",40,"2005/2006",111,"iquitos","train","peakinc"
"F","AE",40,"2005/2006",0,"iquitos","train","peakinc"
"M","AE",40,"2005/2006",8,"iquitos","train","peakinc"
"E","AE",40,"2005/2006",0,"iquitos","train","peakinc"
"baseline","LS",44,"2005/2006",-0.305439,"iquitos","train","peakinc"
"B","LS",44,"2005/2006",-0.412118,"iquitos","train","peakinc"
"C","LS",44,"2005/2006",-0.00796025,"iquitos","train","peakinc"
"D","LS",44,"2005/2006",-Inf,"iquitos","train","peakinc"
"J","LS",44,"2005/2006",-0.61638,"iquitos","train","peakinc"
"H","LS",44,"2005/2006",-0.000181798,"iquitos","train","peakinc"
"P","LS",44,"2005/2006",-1.78082,"iquitos","train","peakinc"
"A","LS",44,"2005/2006",-Inf,"iquitos","train","peakinc"
"O","LS",44,"2005/2006",-0.00867759,"iquitos","train","peakinc"
"L","LS",44,"2005/2006",0,"iquitos","train","peakinc"
"I","LS",44,"2005/2006",0,"iquitos","train","peakinc"
"G","LS",44,"2005/2006",-2.99975,"iquitos","train","peakinc"
"K","LS",44,"2005/2006",-4.60517,"iquitos","train","peakinc"
"N","LS",44,"2005/2006",-Inf,"iquitos","train","peakinc"
"F","LS",44,"2005/2006",0,"iquitos","train","peakinc"
"M","LS",44,"2005/2006",-0.942951,"iquitos","train","peakinc"
"E","LS",44,"2005/2006",-0.107697,"iquitos","train","peakinc"
"baseline","AE",44,"2005/2006",0,"iquitos","train","peakinc"
"B","AE",44,"2005/2006",0,"iquitos","train","peakinc"
"C","AE",44,"2005/2006",0,"iquitos","train","peakinc"
"D","AE",44,"2005/2006",0,"iquitos","train","peakinc"
